Iteration:0, Loss:0.037
Iteration:159, Loss:0.043
Iteration:160, Loss:0.043
Iteration:161, Loss:0.043
Iteration:162, Loss:0.043
Iteration:163, Loss:0.043
Iteration:164, Loss:0.043
Iteration:165, Loss:0.043
Iteration:166, Loss:0.043
Iteration:167, Loss:0.043
Iteration:168, Loss:0.043
Iteration:169, Loss:0.043
Iteration:170, Loss:0.043
Iteration:171, Loss:0.043
Iteration:172, Loss:0.043
Iteration:173, Loss:0.043
Iteration:174, Loss:0.043
Iteration:175, Loss:0.043
Iteration:176, Loss:0.043
Iteration:177, Loss:0.043
Iteration:178, Loss:0.043
Iteration:179, Loss:0.043
Iteration:180, Loss:0.043
Iteration:181, Loss:0.043
Iteration:182, Loss:0.043
Iteration:183, Loss:0.043
Iteration:184, Loss:0.043
Iteration:185, Loss:0.043
Iteration:186, Loss:0.043
Iteration:187, Loss:0.043
Iteration:188, Loss:0.043
Iteration:189, Loss:0.043
Iteration:190, Loss:0.043
Iteration:191, Loss:0.043
Iteration:192, Loss:0.043
Iteration:193, Loss:0.043
Iteration:194, Loss:0.043
Iteration:195, Loss:0.043
Iteration:196, Loss:0.043
Iteration:197, Loss:0.043
Iteration:198, Loss:0.043
Iteration:199, Loss:0.043
Iteration:200, Loss:0.043
Iteration:201, Loss:0.043
Iteration:202, Loss:0.043
Iteration:203, Loss:0.043
Iteration:204, Loss:0.043
Iteration:205, Loss:0.043
Iteration:206, Loss:0.043
Iteration:207, Loss:0.043
Iteration:208, Loss:0.043
Iteration:209, Loss:0.043
Iteration:210, Loss:0.043
Iteration:211, Loss:0.043
Iteration:212, Loss:0.043
Iteration:213, Loss:0.043
Iteration:214, Loss:0.043
Iteration:215, Loss:0.043
Iteration:216, Loss:0.043
Iteration:217, Loss:0.043
Iteration:218, Loss:0.043
Iteration:219, Loss:0.043
Iteration:220, Loss:0.043
Iteration:221, Loss:0.043
Iteration:222, Loss:0.043
Iteration:223, Loss:0.043
Iteration:224, Loss:0.043
Iteration:225, Loss:0.043
Iteration:226, Loss:0.043
Iteration:227, Loss:0.043
Iteration:228, Loss:0.043
Iteration:229, Loss:0.043
Iteration:230, Loss:0.043
Iteration:231, Loss:0.043
Iteration:232, Loss:0.043
Iteration:233, Loss:0.043
Iteration:234, Loss:0.043
Iteration:235, Loss:0.043
Iteration:236, Loss:0.043
Iteration:237, Loss:0.043
Iteration:238, Loss:0.043
Iteration:239, Loss:0.043
Iteration:240, Loss:0.043
Iteration:241, Loss:0.043
Iteration:242, Loss:0.043
Iteration:243, Loss:0.043
Iteration:244, Loss:0.043
Iteration:245, Loss:0.043
Iteration:246, Loss:0.043
Iteration:247, Loss:0.043
Iteration:248, Loss:0.043
Iteration:249, Loss:0.043
Iteration:250, Loss:0.043
Iteration:251, Loss:0.043
Iteration:252, Loss:0.043
Iteration:253, Loss:0.043
Iteration:254, Loss:0.043
Iteration:255, Loss:0.043
Iteration:256, Loss:0.043
Iteration:257, Loss:0.043
Iteration:258, Loss:0.043
Iteration:259, Loss:0.043
Iteration:260, Loss:0.043
Iteration:261, Loss:0.043
Iteration:262, Loss:0.043
Iteration:263, Loss:0.043
Iteration:264, Loss:0.043
Iteration:265, Loss:0.043
Iteration:266, Loss:0.043
Iteration:267, Loss:0.043
Iteration:268, Loss:0.043
Iteration:269, Loss:0.043
Iteration:270, Loss:0.043
Iteration:271, Loss:0.043
Iteration:272, Loss:0.043
Iteration:273, Loss:0.043
Iteration:274, Loss:0.043
Iteration:275, Loss:0.043
Iteration:276, Loss:0.043
Iteration:277, Loss:0.043
Iteration:278, Loss:0.043
Iteration:279, Loss:0.043
Iteration:280, Loss:0.043
Iteration:281, Loss:0.043
Iteration:282, Loss:0.043
Iteration:283, Loss:0.043
Iteration:284, Loss:0.043
Iteration:285, Loss:0.043
Iteration:286, Loss:0.043
Iteration:287, Loss:0.043
Iteration:288, Loss:0.043
Iteration:289, Loss:0.043
Iteration:290, Loss:0.043
Iteration:291, Loss:0.043
Iteration:292, Loss:0.043
Iteration:293, Loss:0.043
Iteration:294, Loss:0.043
Iteration:295, Loss:0.043
Iteration:296, Loss:0.043
Iteration:297, Loss:0.043
Iteration:298, Loss:0.043
Iteration:299, Loss:0.043
Iteration:300, Loss:0.043
Iteration:301, Loss:0.043
Iteration:302, Loss:0.043
Iteration:303, Loss:0.043
Iteration:304, Loss:0.043
Iteration:305, Loss:0.043
Iteration:306, Loss:0.043
Iteration:307, Loss:0.043
Iteration:308, Loss:0.043
Iteration:309, Loss:0.043
Iteration:310, Loss:0.043
Iteration:311, Loss:0.043
Iteration:312, Loss:0.043
Iteration:313, Loss:0.043
Iteration:314, Loss:0.043
Iteration:315, Loss:0.043
Iteration:316, Loss:0.043
Iteration:317, Loss:0.043
Iteration:318, Loss:0.043
Iteration:319, Loss:0.043
Iteration:320, Loss:0.043
Iteration:321, Loss:0.043
Iteration:322, Loss:0.043
Iteration:323, Loss:0.043
Iteration:324, Loss:0.043
Iteration:325, Loss:0.043
Iteration:326, Loss:0.043
Iteration:327, Loss:0.043
Iteration:328, Loss:0.043
Iteration:329, Loss:0.043
Iteration:330, Loss:0.043
Iteration:331, Loss:0.043
Iteration:332, Loss:0.043
Iteration:333, Loss:0.043
Iteration:334, Loss:0.043
Iteration:335, Loss:0.043
Iteration:336, Loss:0.043
Iteration:337, Loss:0.043
Iteration:338, Loss:0.043
Iteration:339, Loss:0.043
Iteration:340, Loss:0.043
Iteration:341, Loss:0.043
Iteration:342, Loss:0.043
Iteration:343, Loss:0.043
Iteration:344, Loss:0.043
Iteration:345, Loss:0.043
Iteration:346, Loss:0.043
Iteration:347, Loss:0.043
Iteration:348, Loss:0.043
Iteration:349, Loss:0.043
Iteration:350, Loss:0.043
Iteration:351, Loss:0.043
Iteration:352, Loss:0.043
Iteration:353, Loss:0.043
Iteration:354, Loss:0.043
Iteration:355, Loss:0.043
Iteration:356, Loss:0.043
Iteration:357, Loss:0.043
Iteration:358, Loss:0.043
Iteration:359, Loss:0.043
Iteration:360, Loss:0.043
Iteration:361, Loss:0.043
Iteration:362, Loss:0.043
Iteration:363, Loss:0.043
Iteration:364, Loss:0.043
Iteration:365, Loss:0.043
Iteration:366, Loss:0.043
Iteration:367, Loss:0.043
Iteration:368, Loss:0.043
Iteration:369, Loss:0.043
Iteration:370, Loss:0.043
Iteration:371, Loss:0.043
Iteration:372, Loss:0.043
Iteration:373, Loss:0.043
Iteration:374, Loss:0.043
Iteration:375, Loss:0.043
Iteration:376, Loss:0.043
Iteration:377, Loss:0.043
Iteration:378, Loss:0.043
Iteration:379, Loss:0.043
Iteration:380, Loss:0.043
Iteration:381, Loss:0.043
Iteration:382, Loss:0.043
Iteration:383, Loss:0.043
Iteration:384, Loss:0.043
Iteration:385, Loss:0.043
Iteration:386, Loss:0.043
Iteration:387, Loss:0.043
Iteration:388, Loss:0.043
Iteration:389, Loss:0.043
Iteration:390, Loss:0.043
Iteration:391, Loss:0.043
Iteration:392, Loss:0.043
Iteration:393, Loss:0.043
Iteration:394, Loss:0.043
Iteration:395, Loss:0.043
Iteration:396, Loss:0.043
Iteration:397, Loss:0.043
Iteration:398, Loss:0.043
Iteration:399, Loss:0.043
Iteration:400, Loss:0.043
Iteration:401, Loss:0.043
Iteration:402, Loss:0.043
Iteration:403, Loss:0.043
Iteration:404, Loss:0.043
Iteration:405, Loss:0.043
Iteration:406, Loss:0.043
Iteration:407, Loss:0.043
Iteration:408, Loss:0.043
Iteration:409, Loss:0.043
Iteration:410, Loss:0.043
Iteration:411, Loss:0.043
Iteration:412, Loss:0.043
Iteration:413, Loss:0.043
Iteration:414, Loss:0.043
Iteration:415, Loss:0.043
Iteration:416, Loss:0.043
Iteration:417, Loss:0.043
Iteration:418, Loss:0.043
Iteration:419, Loss:0.043
Iteration:420, Loss:0.043
Iteration:421, Loss:0.043
Iteration:422, Loss:0.043
Iteration:423, Loss:0.043
Iteration:424, Loss:0.043
Iteration:425, Loss:0.043
Iteration:426, Loss:0.043
Iteration:427, Loss:0.043
Iteration:428, Loss:0.043
Iteration:429, Loss:0.043
Iteration:430, Loss:0.043
Iteration:431, Loss:0.043
Iteration:432, Loss:0.043
Iteration:433, Loss:0.043
